@id,name,@lat,@lon,railway,public_transport
21487225,Jannowitzbrücke,52.5142146,13.4194925,halt,station
21618706,Alpirsbach,48.3439543,8.3982995,station,station
21618713,Loßburg-Rodt,48.4178698,8.4530561,halt,stop_position
21661361,Eystrup,52.7839495,9.2311697,station,station
21769883,Freiburg (Breisgau) Hauptbahnhof,47.9977308,7.8412948,station,station
21935926,Lübeck-St. Jürgen,53.8422971,10.7021069,halt,station
22314914,Geestenseth,53.5065706,8.8592990,station,station
22314990,Brest-Aspe,53.4605814,9.3825440,halt,station
22315007,Harsefeld,53.4500852,9.4990755,station,station
24965627,Bremen-Hemelingen,53.0539423,8.8871732,station,station
24985745,Rosenheim Hochschule,47.8664447,12.1043050,halt,station
25149874,Lübeck Hauptbahnhof,53.8675937,10.6698551,station,station
25233549,Reutlingen Hbf,48.4964698,9.2096132,station,station
25242218,Karlsruhe West,49.0023942,8.3628863,station,station
25268471,Verden (Aller),52.9207954,9.2378760,station,station
25268512,Wunstorf,52.4221569,9.4514075,station,station
25346731,Dresden-Friedrichstadt,51.0560180,13.7081312,station,station
25397500,Dresden Hbf,51.0402452,13.7320768,station,station
25436271,Bruchsal,49.1244292,8.5897927,station,station
25436312,Ubstadt-Weiher,49.1668501,8.6232621,halt,station
25436705,Rot-Malsch,49.2433584,8.6522152,station,station
25436759,St. Ilgen-Sandhausen,49.3414829,8.6687299,halt,station
25436789,Heidelberg-Kirchheim/Rohrbach,49.3793639,8.6753555,station,station
25439439,Mannheim Hauptbahnhof,49.4792363,8.4694107,station,station
25454809,Steinweiler,49.1210186,8.1307162,halt,station
25479399,Ötisheim,48.9664061,8.8138045,halt,station
25479409,Maulbronn West,48.9838385,8.7814485,station,station
25479442,Ölbronn-Dürrn,48.9858243,8.7532742,halt,station
25479463,Knittlingen-Kleinvillars,48.9935909,8.7443656,halt,station
25479495,Bretten-Ruit,49.0094061,8.7220665,halt,station
25479582,Dürrenbüchig,49.0239687,8.6482067,halt,station
25479601,Wössingen Bahnhof,49.0155171,8.6048083,station,station
25480308,Graben-Neudorf Nord,49.1779394,8.4940652,halt,station
25480338,Rheinsheim,49.2291125,8.4158403,halt,station
25480373,Huttenheim,49.1971195,8.4726007,halt,station
25480391,Germersheim,49.2258963,8.3646891,station,station
25572169,Mainleus,50.0997081,11.3798280,station,station
25572703,Marktschorgast,50.0908405,11.6536020,station,station
25587943,Bremen-Oslebshausen,53.1351831,8.7413443,halt,station
25601842,Frankfurt (Main) Galluswarte,50.1043873,8.6444435,station,station
25627273,Groß Gerau-Dornberg,49.9121663,8.4946956,station,station
25715386,Paderborn Kasseler Tor,51.7161809,8.7615273,halt,station
25720648,Reutlingen-Sondelfingen,48.5151287,9.2368040,halt,station
25723981,Dortmund-Kurl,51.5570255,7.5852785,station,station
25731497,Rodenbach,50.1467401,9.0115264,station,
25731502,Langenselbold,50.1621748,9.0581168,station,
25741455,Dortmund-Huckarde,51.5326316,7.4024114,halt,station
25743078,Dortmund-Bövinghausen,51.5188789,7.3275594,station,station
25759702,Brinkum-Erichshof,53.0018508,8.7910235,station,station
25812955,Raumünzach,48.6448896,8.3514448,station,station
25813134,Friedrichstal (bei Freudenstadt),48.4814188,8.3768607,halt,station
25813183,Freudenstadt Hauptbahnhof,48.4602960,8.4287108,station,station
25814044,Freudenstadt Schulzentrum/Panoramabad,48.4674289,8.4212472,halt,station
25814047,Freudenstadt Stadt,48.4675900,8.4109630,station,station
25814710,Baiersbronn Schule,48.5106007,8.3758533,halt,station
25895645,Schloß Holte,51.9077658,8.6114163,station,station
25895646,Hövelhof,51.8240084,8.6616455,station,station
25895648,Paderborn-Sennelager,51.7703723,8.7137798,station,station
25895650,Hövelriege,51.8649389,8.6419841,halt,station
25900008,Unna-Königsborn,51.5532388,7.6877760,station,station
25900301,Bad Sassendorf,51.5871893,8.1624553,halt,station
25900368,Geseke,51.6452218,8.5103020,station,station
25972727,Pforzheim Hauptbahnhof,48.8939815,8.7032583,station,station
26023348,Leipzig-Lindenau,51.3335463,12.3216420,halt,station
26025172,Lübberstedt,53.3428686,8.7852965,station,station
26080368,Ilmenau-Roda,50.6974909,10.8887385,halt,stop_position
26080391,Geraberg,50.7155710,10.8572711,halt,stop_position
26080410,Martinroda,50.7334188,10.8810887,halt,stop_position
26086557,Treben-Lehma,51.0469063,12.4409025,halt,station
26112734,Löhne (Westf),52.1965102,8.7139521,station,station
26124376,Westend,52.5180135,13.2844201,station,station
26195653,Bietigheim-Bissingen,48.9479046,9.1371243,station,station
26195726,Besigheim,48.9977524,9.1364672,halt,station
26196061,Gehlberg,50.6837805,10.7697075,halt,
26407026,Hedelfingen,48.7601430,9.2542275,halt,station
26486884,Trossingen,48.0882978,8.5851973,station,station
26487859,Wilferdingen-Singen,48.9537401,8.5728082,station,station
26490141,Delmenhorst,53.0528092,8.6294626,station,station
26496854,Bremen Neustadt,53.0761509,8.7860771,station,station
26562398,Bremerhaven Hauptbahnhof,53.5350147,8.5993743,station,station
26565329,Wehdel,53.5123120,8.8066164,halt,station
26565361,Sellstedt,53.5155001,8.7224535,halt,station
26575339,Rott (Inn),47.9862814,12.1356892,station,station
26594403,Bobstadt,49.6622488,8.4521845,halt,
26594671,Unterreichenbach,48.8268571,8.7113133,station,station
26594930,Nagold,48.5553900,8.7279041,station,station
26600620,Othmarschen,53.5591518,9.8852809,station,station
26600701,Torgau,51.5628862,12.9909587,station,station
26603219,Wannsee,52.4214071,13.1798077,station,station
26609589,Riedrode,49.6475356,8.4963692,halt,station
26617695,Gondelsheim Schloßstadion,49.0655849,8.6628299,halt,station
26617702,Gondelsheim (Baden),49.0596779,8.6602238,halt,station
26617715,Diedelsheim,49.0392211,8.6745613,halt,station
26617815,Mühlacker,48.9530851,8.8458301,station,station
26619518,Bad Herrenalb Steinhäusle,48.8201068,8.4451421,halt,
26632804,Gnesener Straße,48.8124539,9.2285936,halt,station
26632819,Neugereut,48.8320827,9.2364925,halt,station
26773593,Mainz-Gustavsburg,49.9943139,8.3140533,station,station
26867226,Lampertheim,49.5985780,8.4784826,station,station
26886068,Biblis,49.6889329,8.4504704,station,station
26904717,Heerstraße,52.5078537,13.2598587,halt,station
26943869,Pichelsberg,52.5101503,13.2276304,station,station
26945519,Bonn-Oberkassel,50.7150242,7.1593141,station,station
26969275,Hohenzollerndamm,52.4886270,13.3002415,halt,station
27131873,Tulling,48.0828791,12.0601210,halt,station
27138043,Großsachsen Bahnhof,49.5142420,8.6567606,station,station
27144482,Bürstadt,49.6457684,8.4581969,station,station
27144516,Worms Hauptbahnhof,49.6351798,8.3566466,station,station
27144517,Hofheim/Ried,49.6595290,8.4090324,station,station
27175627,Lorsch,49.6590497,8.5660491,station,station
27214338,Michaelibad,48.1183485,11.6318229,station,station
27215654,Grunewald,52.4882479,13.2610104,station,station
27308158,Nufringen,48.6203959,8.8902783,halt,station
27308184,Goldberg,48.6966069,9.0199002,halt,station
27312362,Stuttgart Flughafen/Messe,48.6905419,9.1931946,station,station
27313373,Kleinostheim,50.0028834,9.0720973,station,station
27318370,Griebnitzsee,52.3944579,13.1272716,station,station
27347076,Essen-Eiberg,51.4417321,7.1089523,halt,station
27348485,Bochum-Hamme,51.4911657,7.2011276,halt,station
27357516,Binzen,47.6314024,7.6210477,halt,
27358206,Heitersheim,47.8803539,7.6464809,station,station
27358967,Bad Kreuznach,49.8428494,7.8667379,station,station
27376439,Bürstadt,49.6448848,8.4593171,halt,station
27381626,Neckarsulm,49.1889572,9.2199268,station,station
27381920,Schweinfurt Hbf,50.0350546,10.2120347,station,station
