bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
8268RMV,,FrankfurtamMainGatewayGardens,4,Hessen,2.78,6.42,
7980RMV,,FrankfurtamMainMesse,4,Hessen,2.78,6.42,
1854RMV,,FrankfurtamMainStadion,3,Hessen,4.14,10.93,
8320RMV,,FrankfurtamMain-Ginnheim,4,Hessen,2.78,6.42,
1867RMV,,Frankfurt-Berkersheim,5,Hessen,2.4,6.3,
1868RMV,,Frankfurt-Eschersheim,5,Hessen,2.4,6.3,
1869RMV,,Frankfurt-FrankfurterBerg,4,Hessen,2.78,6.42,
1871RMV,,Frankfurt-Griesheim,4,Hessen,2.78,6.42,
1872RMV,,Frankfurt-Höchst,3,Hessen,4.14,10.93,
1763RMV,,Frankfurt-HöchstFarbwerke,5,Hessen,2.4,6.3,
1873RMV,,Frankfurt-Louisa,4,Hessen,2.78,6.42,
1874RMV,,Frankfurt-Mainkur,5,Hessen,2.4,6.3,
1875RMV,,Frankfurt-Nied,5,Hessen,2.4,6.3,
1877RMV,,Frankfurt-Rödelheim,3,Hessen,4.14,10.93,
1878RMV,,Frankfurt-Sindlingen,5,Hessen,2.4,6.3,
1879RMV,,Frankfurt-Sossenheim,6,Hessen,2.48,6.52,
8058RMV,,Frankfurt-Zeilsheim,5,Hessen,2.4,6.3,
1880NASA,,Frankleben,6,Sachsen-Anhalt,3.34,8.9,
1881BEG,,Frauenau,7,Bayern,2.13,5.65,
1884VVO,,Frauenhain,6,Sachsen,2.85,7.61,
2306goR,,Frechen-Königsdorf,5,Nordrhein-Westfalen,2.69,7.09,
1885NASA,,Freckleben,7,Sachsen-Anhalt,2.77,7.39,
1886LNVG,,Freden(Leine),6,Niedersachsen,4.23,10.34,
1889VBB,,Fredersdorf(bBerlin),5,Brandenburg,3.44,9.13,
1890VRStutt,,Freiberg(Neckar),5,Baden-Württemberg,2.09,5.58,
1891VMS,,Freiberg(Sachs),4,Sachsen,4.68,12.48,
1893VMBW,,Freiburg(Breisgau)Hbf,2,Baden-Württemberg,15.35,40.77,
7992VMBW,,FreiburgMesse/Universität,6,Baden-Württemberg,2.35,6.18,
1896VMBW,,Freiburg-Herdern,5,Baden-Württemberg,2.91,7.35,
1894VMBW,,Freiburg-Klinikum,6,Baden-Württemberg,2.35,6.18,
1895VMBW,,Freiburg-Landwasser,6,Baden-Württemberg,2.35,,"6,18Namealt:FreiburgWest"
1897VMBW,,Freiburg-Littenweiler,6,Baden-Württemberg,2.35,6.18,
1898VMBW,,Freiburg-StGeorgen,6,Baden-Württemberg,2.35,6.18,
1899VMBW,,Freiburg-Wiehre,5,Baden-Württemberg,2.91,7.35,
1900VMBW,,Freiburg-Zähringen,6,Baden-Württemberg,2.35,6.18,
1902TLBV,,Freienorla,7,Thüringen,2.7,7.22,
1903BEG,,Freihalden,6,Bayern,2.89,7.59,
1904BEG,,Freihöls,7,Bayern,2.13,5.65,
1905BEG,,Freihung,6,Bayern,2.89,7.59,
1906BEG,,Freilassing,3,Bayern,4.75,12.53,
8245BEG,,Freilassing-Hofham,6,Bayern,2.89,7.59,
1907ZÖPNVSüd,,Freinsheim,4,Rheinland-Pfalz,2.84,7.4,
1908BEG,,Freising,3,Bayern,4.75,12.53,
1911VVO,,Freital-Deuben,5,Sachsen,2.08,5.53,
1912VVO,,Freital-Hainsberg,5,Sachsen,2.08,5.53,
1913VVO,,Freital-HainsbergWest,6,Sachsen,2.85,7.61,
1914VVO,,Freital-Potschappel,5,Sachsen,2.08,5.53,
1915RVB,,Frellstedt,6,Niedersachsen,4.87,10.77,
1916ZPS,,Fremersdorf,6,Saarland,1.54,4.04,
1917NASA,,Frenz,6,Sachsen-Anhalt,3.34,8.9,
1918NAHSH,,Fresenburg,7,Schleswig-Holstein,2.21,5.91,
1919VBB,,Fretzdorf,7,Brandenburg,3.21,8.56,
1921VMBW,,FreudenstadtHbf,5,Baden-Württemberg,2.91,7.35,
1923ZVRPNord,,FreusburgSiedlung,6,Rheinland-Pfalz,2.27,5.85,
1924NASA,,Freyburg(Unstrut),7,Sachsen-Anhalt,2.77,7.39,
1926RMV,,Frickhofen,6,Hessen,2.48,6.52,
1927VMBW,,Fridingen(bTuttlingen),6,Baden-Württemberg,2.35,6.18,
1929BEG,,Friedberg(bAugsburg),5,Bayern,2.72,7.01,
1930RMV,,Friedberg(Hess),3,Hessen,4.14,10.93,
1870RMV,,FriedbergSüd,7,Hessen,1.88,4.96,
1931RMV,,Friedelhausen,6,Hessen,2.48,6.52,
1932VBBBerlin,,Friedenau,4,Berlin,2.0,5.33,
1934VBB,,Friedersdorf(bKönigsWusterhausen),6,Brandenburg,3.98,10.22,
1937LNVG,,Friedland(Han),6,Niedersachsen,4.23,10.34,
1939goR,,FriedrichWilhelmshütte,6,Nordrhein-Westfalen,3.77,8.76,
1940TLBV,,Friedrichroda,7,Thüringen,2.7,7.22,
1941BWVI,,Friedrichsberg,4,Hamburg,2.79,6.93,
1942RMV,,Friedrichsdorf(Taunus),4,Hessen,2.78,6.42,
1943VRR,,Friedrichsfeld(Niederrhein),5,Nordrhein-Westfalen,2.32,5.93,
1944VBBBerlin,,FriedrichsfeldeOst,4,Berlin,2.0,5.33,
5987VMBW,,FriedrichshafenFlughafen,5,Baden-Württemberg,2.91,7.35,
1945VMBW,,FriedrichshafenHafen,5,Baden-Württemberg,2.91,7.35,
2718VMBW,,FriedrichshafenLandratsamt,7,Baden-Württemberg,1.9,5.07,
6456VMBW,,FriedrichshafenManzell,6,Baden-Württemberg,2.35,6.18,
1946VMBW,,FriedrichshafenOst,6,Baden-Württemberg,2.35,6.18,
1947VMBW,,FriedrichshafenStadt,3,Baden-Württemberg,5.29,13.61,
7435VMBW,,Friedrichshafen-Fischbach,7,Baden-Württemberg,1.9,5.07,
7430VMBW,,Friedrichshafen-Kluftern,7,Baden-Württemberg,1.9,5.07,
1951VMV,,Friedrichsruhe(Meckl),7,Mecklenburg-Vorpommern,3.47,9.27,
1952ZVRPNord,,Friedrichssegen,6,Rheinland-Pfalz,2.27,5.85,
1953NAHSH,,Friedrichstadt,5,Schleswig-Holstein,3.75,9.91,
1954VMBW,,Friedrichstal(Baden),6,Baden-Württemberg,2.35,6.18,
1956ZPS,,Friedrichsthal(Saar),6,Saarland,1.54,4.04,
7157ZPS,,FriedrichsthalMitte,6,Saarland,1.54,4.04,
1959VBB,,Friesack(Mark),6,Brandenburg,3.98,10.22,
1960NASA,,Friesdorf,7,Sachsen-Anhalt,2.77,7.39,
1961NASA,,FriesdorfOst,7,Sachsen-Anhalt,2.77,7.39,
1962VMBW,,Friesenheim(Baden),6,Baden-Württemberg,2.35,6.18,
1963VRR,,Frimmersdorf,6,Nordrhein-Westfalen,2.76,7.0,
1965ZVNL,,Frohburg,6,Sachsen,2.56,6.83,
1968VMBW,,Frommern,6,Baden-Württemberg,2.35,6.18,
1969NWL,,Fröndenberg,3,Nordrhein-Westfalen,7.97,17.74,
1967NWL,,Fröndenberg-Frömern,7,Nordrhein-Westfalen,2.48,,"6,41Namealt:Frömern"
1970RMV,,Fronhausen(Lahn),6,Hessen,2.48,6.52,
1971NASA,,Frose,6,Sachsen-Anhalt,3.34,8.9,
1972TLBV,,Fröttstädt,5,Thüringen,3.74,9.97,
1973RMV,,Fulda,2,Hessen,12.33,32.56,
2970NVV,,Fuldatal-Ihringshausen,6,Hessen,2.73,7.26,
1974RMV,,Fürfurt,6,Hessen,2.48,6.52,
1975VBB,,Fürstenberg(Havel),5,Brandenburg,3.44,9.13,
1977BEG,,Fürstenfeldbruck,4,Bayern,3.19,7.89,
1980VBB,,Fürstenwalde(Spree),4,Brandenburg,5.17,13.68,
1981VBB,,Fürstenwalde(Spree)Süd,7,Brandenburg,3.21,8.56,
1983BEG,,Furth(bDeisenhofen),5,Bayern,2.72,7.01,
1984BEG,,Fürth(Bay)Hbf,2,Bayern,13.72,36.53,
1985VRN,,Fürth(Odenw),6,Hessen,2.31,6.13,
1986BEG,,FurthimWald,5,Bayern,2.72,7.01,
1987BEG,,FürthWestvorstadt,6,Bayern,2.89,7.59,
1988BEG,,Fürth-Burgfarrnbach,5,Bayern,2.72,7.01,
1989BEG,,Fürth-Dambach,6,Bayern,2.89,7.59,
1990BEG,,Fürth-Klinikum,6,Bayern,2.89,,"7,59Namealt:Fürth-Unterfarrnbach"
1991BEG,,Fürth-Unterfürberg,6,Bayern,2.89,7.59,
1992BEG,,Füssen,6,Bayern,2.89,7.59,
1993BEG,,Gablingen,5,Bayern,2.72,7.01,
1994VMV,,Gadebusch,7,Mecklenburg-Vorpommern,3.47,9.27,
1998VMBW,,GaildorfWest,6,Baden-Württemberg,2.35,6.18,
2000BEG,,Gaimersheim,6,Bayern,2.89,7.59,
2001BEG,,Gaißach,6,Bayern,2.89,7.59,
7862ZÖPNVSüd,,Galgenschanze,6,Rheinland-Pfalz,1.99,5.22,
2005LNVG,,Ganderkesee,6,Niedersachsen,4.23,10.34,
2006TLBV,,Gangloffsömmern,7,Thüringen,2.7,7.22,
2008NWL,,Garbeck,7,Nordrhein-Westfalen,2.48,6.41,
2009RMV,,Garbenteich,6,Hessen,2.48,6.52,
2011NASA,,Gardelegen,6,Sachsen-Anhalt,3.34,8.9,
2012NAHSH,,Garding,7,Schleswig-Holstein,2.21,5.91,
2014BEG,,Garmisch-Partenkirchen,3,Bayern,4.75,12.53,
2016VRStutt,,Gärtringen,5,Baden-Württemberg,2.09,5.58,
2018NASA,,Gatersleben,7,Sachsen-Anhalt,2.77,7.39,
2019ZÖPNVSüd,,GauAlgesheim,4,Rheinland-Pfalz,2.84,7.4,
2020ZÖPNVSüd,,GauBickelheim,7,Rheinland-Pfalz,1.49,4.01,
2021VMBW,,Gaubüttelbrunn,6,Baden-Württemberg,2.35,6.18,
2023VMBW,,Gäufelden,5,Baden-Württemberg,2.91,7.35,
2024BEG,,Gauting,4,Bayern,3.19,7.89,
2027TLBV,,Gebra(Hainleite),6,Thüringen,3.43,9.13,
2028LNVG,,Geeste,6,Niedersachsen,4.23,10.34,
2029NASA,,Geestgottberg,7,Sachsen-Anhalt,2.77,7.39,
2030TLBV,,Gehlberg,6,Thüringen,3.43,9.13,
2035VBBBerlin,,Gehrenseestraße,5,Berlin,1.96,5.19,
2036BEG,,Geigant,7,Bayern,2.13,5.65,
2037goR,,Geilenkirchen,5,Nordrhein-Westfalen,2.69,7.09,
2038goR,,Geilhausen,7,Nordrhein-Westfalen,3.48,5.28,
2039BEG,,Geiselhöring,6,Bayern,2.89,7.59,
2040BEG,,Geisenbrunn,5,Bayern,2.72,7.01,
2042RMV,,Geisenheim,5,Hessen,2.4,6.3,
2043VVO,,Geising,7,Sachsen,2.46,6.58,
2044VMBW,,Geisingen,6,Baden-Württemberg,2.35,6.18,
2045VMBW,,Geislingen(Steige),4,Baden-Württemberg,3.92,10.18,
2046VMBW,,GeislingenWest,6,Baden-Württemberg,2.35,6.18,
2047BEG,,Geitau,7,Bayern,2.13,5.65,
2048ZVNL,,Geithain,4,Sachsen,2.95,7.87,
2049VMV,,Gelbensande,6,Mecklenburg-Vorpommern,4.2,11.06,
2050VRR,,Geldern,5,Nordrhein-Westfalen,2.32,5.93,
2051RMV,,Gelnhausen,4,Hessen,2.78,6.42,
2052VRR,,GelsenkirchenHbf,2,Nordrhein-Westfalen,9.8,26.07,
2053VRR,,GelsenkirchenZoo,6,Nordrhein-Westfalen,2.76,7.0,
2054VRR,,Gelsenkirchen-BuerNord,6,Nordrhein-Westfalen,2.76,7.0,
2055VRR,,Gelsenkirchen-BuerSüd,7,Nordrhein-Westfalen,2.87,7.64,
2056VRR,,Gelsenkirchen-Hassel,6,Nordrhein-Westfalen,2.76,7.0,
2057VRR,,Gelsenkirchen-Rotthausen,6,Nordrhein-Westfalen,2.76,7.0,
2058BEG,,Geltendorf,3,Bayern,4.75,12.53,
2060BEG,,Gemünden(Main),4,Bayern,3.19,7.89,
2061BEG,,Genderkingen,7,Bayern,2.13,5.65,
2062VMBW,,Gengenbach,4,Baden-Württemberg,3.92,10.18,
7158ZPS,,Gennweiler,6,Saarland,1.54,4.04,
2064ZÖPNVSüd,,Gensingen-Horrweiler,5,Rheinland-Pfalz,2.95,7.78,
2066NASA,,Genthin,4,Sachsen-Anhalt,5.24,13.97,
2071BEG,,Georgensgmünd,4,Bayern,3.19,7.89,
2073TLBV,,GeraHbf,3,Thüringen,9.93,26.53,
2075TLBV,,GeraSüd,5,Thüringen,3.74,9.97,
2082TLBV,,Geraberg,6,Thüringen,3.43,9.13,
2083VRStutt,,Geradstetten,5,Baden-Württemberg,2.09,5.58,
2077TLBV,,Gera-Langenberg,7,Thüringen,2.7,7.22,
2081TLBV,,Gera-Zwötzen,6,Thüringen,3.43,9.13,
2085VMBW,,Gerhausen,6,Baden-Württemberg,2.35,6.18,
2086ZVNL,,Gerichshain,6,Sachsen,2.56,6.83,
2088VMBW,,Gerlachsheim,6,Baden-Württemberg,2.35,6.18,
2089BEG,,Gerlenhofen,6,Bayern,2.89,7.59,
2091BEG,,Germering-Unterpfaffenhofen,3,Bayern,4.75,12.53,
2092ZÖPNVSüd,,Germersheim,5,Rheinland-Pfalz,2.95,7.78,
8244ZÖPNVSüd,,GermersheimMitte/Rhein,5,Rheinland-Pfalz,2.95,7.78,
8206ZÖPNVSüd,,GermersheimSüd/Nolte,6,Rheinland-Pfalz,1.99,5.22,
2094BEG,,Gernlinden,4,Bayern,3.19,7.89,
4515TLBV,,Gernrode-Niederorschel,6,Thüringen,3.43,9.13,
2097RMV,,Gernsheim,5,Hessen,2.4,6.3,
2098BEG,,Geroldshausen,6,Bayern,2.89,7.59,
2099ZVRPNord,,Gerolstein,4,Rheinland-Pfalz,4.57,11.36,
2101ZVON,,Gersdorf(bGörlitz),6,Sachsen,3.28,8.7,
2102RMV,,Gersfeld(Rhön),6,Hessen,2.48,6.52,
2104BEG,,Gersthofen,6,Bayern,2.89,7.59,
2105TLBV,,Gerstungen,6,Thüringen,3.43,9.13,
2107NVV,,Gertenbach,6,Hessen,2.73,7.26,
2108NASA,,Gerwisch,6,Sachsen-Anhalt,3.34,8.9,
2109NWL,,Geseke,5,Nordrhein-Westfalen,3.91,9.89,
2110BEG,,Gessertshausen,5,Bayern,2.72,7.01,
2111RMV,,Gettenau-Bingenheim,6,Hessen,2.48,6.52,
2112NAHSH,,Gettorf,6,Schleswig-Holstein,3.53,9.43,
2113VRR,,GevelsbergHbf,6,Nordrhein-Westfalen,2.76,7.0,
2114VRR,,GevelsbergWest,6,Nordrhein-Westfalen,2.76,7.0,
2115VRR,,Gevelsberg-Kipp,6,Nordrhein-Westfalen,2.76,7.0,
2116VRR,,Gevelsberg-Knapp,6,Nordrhein-Westfalen,2.76,7.0,
2118VMBW,,Giengen(Brenz),5,Baden-Württemberg,2.91,7.35,
2119NASA,,Giersleben,6,Sachsen-Anhalt,3.34,8.9,
2120RMV,,Gießen,2,Hessen,12.33,32.56,
1627RMV,,GießenErdkauterWeg,6,Hessen,2.48,6.52,
2121RMV,,GießenLicherStraße,6,Hessen,2.48,6.52,
7968RMV,,GießenOswaldsgarten,5,Hessen,2.4,6.3,
2122RVB,,Gifhorn,4,Niedersachsen,9.96,26.55,
2123RVB,,Gifhorn-Stadt,6,Niedersachsen,4.87,10.77,
2124BEG,,Gilching-Argelsried,5,Bayern,2.72,7.01,
2126VMBW,,Gingen(Fils),6,Baden-Württemberg,2.35,6.18,
2128ZVRPNord,,Girod,7,Rheinland-Pfalz,2.0,4.62,
2129LNVG,,Gittelde,7,Niedersachsen,2.85,7.6,
2132VRR,,GladbeckOst,6,Nordrhein-Westfalen,2.76,7.0,
2133VRR,,GladbeckWest,4,Nordrhein-Westfalen,2.49,6.29,
2134VRR,,Gladbeck-Zweckel,6,Nordrhein-Westfalen,2.76,7.0,
2136ZÖPNVSüd,,Glan-Münchweiler,6,Rheinland-Pfalz,1.99,5.22,
2139VVO,,Glashütte(Sachs),6,Sachsen,2.85,7.61,
2141VVO,,Glaubitz(bRiesa),6,Sachsen,2.85,7.61,
2140RMV,,Glauburg-Glauberg,6,Hessen,2.48,6.52,
6033RMV,,Glauburg-Stockheim,5,Hessen,2.4,6.3,
2142VMS,,Glauchau(Sachs),3,Sachsen,15.88,42.39,
2143VMS,,Glauchau-Schönbörnchen,6,Sachsen,3.63,9.66,
2145goR,,Glesch,6,Nordrhein-Westfalen,3.77,8.76,
2148VBB,,Glöwen,6,Brandenburg,3.98,10.22,
2149TLBV,,Glückauf,7,Thüringen,2.7,7.22,
2151NAHSH,,Glückstadt,5,Schleswig-Holstein,3.75,9.91,
2152NASA,,Gnadau,6,Sachsen-Anhalt,3.34,8.9,
2153VMV,,Gnevkow,6,Mecklenburg-Vorpommern,4.2,11.06,
2158RMV,,Göbelnrod,7,Hessen,1.88,4.96,
2159VRR,,Goch,6,Nordrhein-Westfalen,2.76,7.0,
2163ZÖPNVSüd,,Godramstein,6,Rheinland-Pfalz,1.99,5.22,
2164LNVG,,Göhrde,7,Niedersachsen,2.85,7.6,
2168NAHSH,,Gokels,7,Schleswig-Holstein,2.21,5.91,
2170NASA,,Goldbeck(KrOsterburg),6,Sachsen-Anhalt,3.34,8.9,
2171VRStutt,,Goldberg,5,Baden-Württemberg,2.09,5.58,
2173LNVG,,Goldenstedt(Oldb),7,Niedersachsen,2.85,7.6,
2174ZVRPNord,,Goldhausen,6,Rheinland-Pfalz,2.27,5.85,
2175VMBW,,Goldshöfe,6,Baden-Württemberg,2.35,6.18,
2177VBB,,Gollmitz(Niederlausitz),7,Brandenburg,3.21,8.56,
2178VBB,,Golm,6,Brandenburg,3.98,10.22,
2180VBB,,Golßen(Niederlausitz),6,Brandenburg,3.98,10.22,
2182VBB,,Golzow(bEberswalde),7,Brandenburg,3.21,8.56,
2185VBB,,Golzow(Oderbruch),6,Brandenburg,3.98,10.22,
2186NASA,,Gommern,6,Sachsen-Anhalt,3.34,8.9,
2189VMBW,,Göppingen,3,Baden-Württemberg,5.29,13.61,
2191VBB,,Görden,7,Brandenburg,3.21,8.56,
2192VBB,,Gorgast,6,Brandenburg,3.98,10.22,
2194ZVON,,Görlitz,3,Sachsen,32.2,85.92,
8019ZVON,,Görlitz-Rauschwalde,6,Sachsen,3.28,8.7,
2195ZVON,,Görlitz-Weinhübel,6,Sachsen,3.28,8.7,
2196TLBV,,Görsbach,6,Thüringen,3.43,9.13,
2200BEG,,Gosberg,7,Bayern,2.13,5.65,
2202RVB,,Goslar,3,Niedersachsen,3.91,10.43,
2203VVO,,Goßdorf-Kohlmühle,7,Sachsen,2.46,6.58,
2206BEG,,Goßmannsdorf,6,Bayern,2.89,7.59,
2207TLBV,,Gößnitz,4,Thüringen,5.03,13.4,
2209TLBV,,Gotha,3,Thüringen,9.93,26.53,
2210TLBV,,GothaOst,6,Thüringen,3.43,9.13,
2214VMBW,,Gottenheim,5,Baden-Württemberg,2.91,7.35,
2215BEG,,Gotteszell,6,Bayern,2.89,7.59,
2218LNVG,,Göttingen,2,Niedersachsen,22.77,59.22,
2219VMBW,,Gottmadingen,4,Baden-Württemberg,3.92,10.18,
2220VBB,,Götz,6,Brandenburg,3.98,10.22,
4812VMV,,Graal-Müritz,6,Mecklenburg-Vorpommern,4.2,11.06,
8141VMV,,Graal-Müritz-Koppelweg,7,Mecklenburg-Vorpommern,3.47,9.27,
8278BEG,,Graben(Lechfeld)Gewerbepark,6,Bayern,2.89,7.59,
2223VMBW,,Graben-Neudorf,3,Baden-Württemberg,5.29,13.61,
2224VMBW,,Graben-NeudorfNord,6,Baden-Württemberg,2.35,6.18,
2225VMV,,Grabow(Meckl),6,Mecklenburg-Vorpommern,4.2,11.06,
2227BEG,,Gräfelfing,4,Bayern,3.19,7.89,
2228BEG,,Grafenaschau,7,Bayern,2.13,5.65,
2229BEG,,Grafenau,7,Bayern,2.13,5.65,
2230BEG,,Gräfenberg,6,Bayern,2.89,7.59,
2231BEG,,Gräfendorf,6,Bayern,2.89,7.59,
2232NASA,,Gräfenhainichen,6,Sachsen-Anhalt,3.34,8.9,
2233TLBV,,Gräfenroda,6,Thüringen,3.43,9.13,
2235NASA,,Gräfenstuhl-Klippmühle,7,Sachsen-Anhalt,2.77,7.39,
2237TLBV,,Gräfentonna,7,Thüringen,2.7,7.22,
2241BEG,,GrafingStadt,5,Bayern,2.72,7.01,
8253BEG,,Grafling-Arzting,7,Bayern,2.13,5.65,
2243BEG,,Grafrath,5,Bayern,2.72,7.01,
2244VMV,,Grambow,7,Mecklenburg-Vorpommern,3.47,9.27,
2246VBB,,Gransee,5,Brandenburg,3.44,9.13,
2249RMV,,Gräveneck,6,Hessen,2.48,6.52,
2250NVV,,Grebenstein,5,Hessen,1.98,5.13,
2252VMV,,Greifswald,4,Mecklenburg-Vorpommern,5.1,12.82,
2253VMV,,GreifswaldSüd,6,Mecklenburg-Vorpommern,4.2,11.06,
,529VBBBerlin,GreifswalderStraße,4,Berlin,2.0,5.33,
2254TLBV,,Greiz,6,Thüringen,3.43,9.13,
2256TLBV,,Greiz-Dölau,6,Thüringen,3.43,9.13,
2257VMBW,,Grenzach,5,Baden-Württemberg,2.91,7.35,
2259NASA,,Greppin,6,Sachsen-Anhalt,3.34,8.9,
2261TLBV,,Greußen,6,Thüringen,3.43,9.13,
2262NWL,,Greven,3,Nordrhein-Westfalen,7.97,17.74,
2263VRR,,Grevenbroich,4,Nordrhein-Westfalen,2.49,6.29,
2265VMV,,Grevesmühlen,6,Mecklenburg-Vorpommern,4.2,11.06,
2267VMV,,Grieben(Meckl),6,Mecklenburg-Vorpommern,4.2,11.06,
2269NASA,,Griebo,6,Sachsen-Anhalt,3.34,8.9,
2270TLBV,,Griefstedt,7,Thüringen,2.7,7.22,
2271BEG,,Griesen(Oberbay),7,Bayern,2.13,5.65,
2272VMBW,,Grießen(Baden),7,Baden-Württemberg,1.9,5.07,
2275ZVNL,,GrimmaobBf,5,Sachsen,3.24,8.61,
2277VMV,,Grimmen,6,Mecklenburg-Vorpommern,4.2,11.06,
2278TLBV,,Grimmenthal,6,Thüringen,3.43,9.13,
2280ZVV,,Grobau,7,Sachsen,3.28,8.76,
2281BEG,,Gröbenzell,4,Bayern,3.19,7.89,
2282NASA,,Gröbers,5,Sachsen-Anhalt,3.29,8.62,
2284VVO,,Gröditz(bRiesa),6,Sachsen,2.85,7.61,
2286VMBW,,Grombach,6,Baden-Württemberg,2.35,6.18,
2288NWL,,Gronau(Westf),5,Nordrhein-Westfalen,3.91,9.89,
2290BEG,,Gronsdorf,4,Bayern,3.19,7.89,
2291NASA,,GroßAmmensleben,6,Sachsen-Anhalt,3.34,8.9,
2295VMV,,GroßBrütz,6,Mecklenburg-Vorpommern,4.2,11.06,
2334LNVG,,GroßDüngen,6,Niedersachsen,4.23,,"10,34Namealt:Großdüngen"
2299RMV,,GroßGerau,4,Hessen,2.78,6.42,
2300RMV,,GroßGerau-Dornberg,3,Hessen,4.14,10.93,
1278RMV,,GroßGerau-Dornheim,6,Hessen,2.48,6.52,
2303RMV,,GroßKarben,4,Hessen,2.78,6.42,
2304VMV,,GroßKiesow,6,Mecklenburg-Vorpommern,4.2,11.06,
6180VBB,,GroßKöris,6,Brandenburg,3.98,10.22,
2307VBB,,GroßKreutz,6,Brandenburg,3.98,10.22,
2308VMV,,GroßLaasch,7,Mecklenburg-Vorpommern,3.47,9.27,
2311VMV,,GroßLüsewitz,7,Mecklenburg-Vorpommern,3.47,9.27,
2312VBB,,GroßPankow,6,Brandenburg,3.98,10.22,
2316VRN,,GroßRohrheim,5,Hessen,4.94,13.18,
2318VMV,,GroßSchwaß,6,Mecklenburg-Vorpommern,4.2,11.06,
2320RMV,,GroßUmstadtMitte,6,Hessen,2.48,6.52,
3237RMV,,GroßUmstadt-KleinUmstadt,6,Hessen,2.48,6.52,
6734RMV,,GroßUmstadt-Wiebelsbach,5,Hessen,2.4,6.3,
2323BEG,,Großarmschlag,7,Bayern,2.13,5.65,
2324RMV,,Großauheim(KrHanau),6,Hessen,2.48,6.52,
2325VBB,,Großbeeren,6,Brandenburg,3.98,10.22,
2327ZVNL,,Großbothen,5,Sachsen,3.24,8.61,
2329goR,,Großbüllesheim,6,Nordrhein-Westfalen,3.77,8.76,
2330RH,,Großburgwedel,5,Niedersachsen,4.35,11.59,
2333ZVNL,,Großdeuben,6,Sachsen,2.56,6.83,
2336RMV,,GroßenBuseck,6,Hessen,2.48,6.52,
2337RMV,,GroßenLinden,5,Hessen,2.4,6.3,
2338TLBV,,Großengottern,6,Thüringen,3.43,9.13,
2340VVO,,GroßenhainCottbBf,5,Sachsen,2.08,5.53,
2341LNVG,,Großenkneten,6,Niedersachsen,4.23,10.34,
2342RMV,,Großenlüder,6,Hessen,2.48,6.52,
2343TLBV,,Großfurra,6,Thüringen,3.43,9.13,
2344BEG,,Großgeschaidt,7,Bayern,2.13,5.65,
2345ZVON,,Großharthau,6,Sachsen,3.28,8.7,
2346BEG,,Großhelfendorf,6,Bayern,2.89,7.59,
2347TLBV,,Großheringen,5,Thüringen,3.74,9.97,
2350BEG,,Großkarolinenfeld,6,Bayern,2.89,7.59,
2351NASA,,Großkorbetha,4,Sachsen-Anhalt,5.24,13.97,
2352RMV,,Großkrotzenburg,5,Hessen,2.4,6.3,
2353NASA,,Großkugel,6,Sachsen-Anhalt,3.34,8.9,
2355ZVNL,,Großlehna,6,Sachsen,2.56,6.83,
2356TLBV,,Großneuhausen,6,Thüringen,3.43,9.13,
2357ZVNL,,Großpösna,6,Sachsen,2.56,6.83,
2359VBB,,Großräschen,6,Brandenburg,3.98,10.22,
2360VVO,,Großröhrsdorf,6,Sachsen,2.85,7.61,
2361TLBV,,Großrudestedt,6,Thüringen,3.43,9.13,
2364ZVON,,Großschönau(Sachs),6,Sachsen,3.28,8.7,
2365TLBV,,Großschwabhausen,6,Thüringen,3.43,9.13,
2367ZVNL,,Großsteinberg,6,Sachsen,2.56,6.83,
2371BEG,,Großwalbur,7,Bayern,2.13,5.65,
2372VBB,,Großwudicke,7,Brandenburg,3.21,8.56,
2376BEG,,Grub(Oberbay),5,Bayern,2.72,7.01,
2377BEG,,Grub(Oberpf),7,Bayern,2.13,5.65,
2378BEG,,GrubamForst,6,Bayern,2.89,7.59,
2383VMS,,Grüna(Sachs),6,Sachsen,3.63,9.66,
2387VRStutt,,Grunbach,4,Baden-Württemberg,2.9,7.74,
2388ZVV,,Grünbach,7,Sachsen,3.28,8.76,
2389RMV,,Grünberg(Oberhess),6,Hessen,2.48,6.52,
2391VBBBerlin,,Grünbergallee,5,Berlin,1.96,5.19,
2393ZVRPNord,,GrünebachOrt,7,Rheinland-Pfalz,2.0,4.62,
2394ZVRPNord,,GrünebacherHütte,7,Rheinland-Pfalz,2.0,4.62,
2395VBB,,Grüneberg,6,Brandenburg,3.98,10.22,
2400VBB,,Grunow(Niederlausitz),6,Brandenburg,3.98,10.22,
2401VMBW,,Grünsfeld,6,Baden-Württemberg,2.35,6.18,
2402ZÖPNVSüd,,Grünstadt,4,Rheinland-Pfalz,2.84,7.4,
2403ZÖPNVSüd,,GrünstadtNord,7,Rheinland-Pfalz,1.49,4.01,
8030VMBW,,Grüntal/Wittlensweiler,7,Baden-Württemberg,1.9,5.07,
2405VBB,,Guben,5,Brandenburg,3.44,9.13,
2407ZPS,,Güdingen,5,Saarland,1.58,4.0,
2410goR,,Gummersbach,6,Nordrhein-Westfalen,3.77,8.76,
2412VMBW,,Gundelfingen,5,Baden-Württemberg,2.91,7.35,
2413BEG,,Gundelfingen(Bay),6,Bayern,2.89,7.59,
2414BEG,,Gundelsdorf,6,Bayern,2.89,7.59,
2415BEG,,Gundelshausen,6,Bayern,2.89,7.59,
