bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
,97NAHSH,Altengörs,7,Schleswig-Holstein,2.21,5.91,
,105ZVRPNord,Altenkirchen(Westerw),6,Rheinland-Pfalz,2.27,5.85,
108NWL,,Altenseelbach,7,Nordrhein-Westfalen,2.48,6.41,
109RMV,,Altenstadt(Hess),6,Hessen,2.48,6.52,
110BEG,,Altenstadt(Iller),6,Bayern,2.89,7.59,
8152BEG,,Altenstadt(Waldnaab),6,Bayern,2.89,7.59,
2806RMV,,Altenstadt-Höchst,6,Hessen,2.48,6.52,
3735RMV,,Altenstadt-Lindheim,6,Hessen,2.48,6.52,
111VMV,,Altentreptow,6,Mecklenburg-Vorpommern,4.2,11.06,
113VMV,,Altenwillershagen,6,Mecklenburg-Vorpommern,4.2,11.06,
114TLBV,,Altersbach,7,Thüringen,2.7,7.22,
3072VBB,,AltesLager,7,Brandenburg,3.21,8.56,
115VMBW,,Altglashütten-Falkau,6,Baden-Württemberg,2.35,6.18,
,116VBBBerlin,Altglienicke,4,Berlin,2.0,5.33,
117BEG,,Althegnenberg,5,Bayern,2.72,7.01,
119RMV,,Altheim(Hess),6,Hessen,2.48,6.52,
121VMV,,Althof,7,Mecklenburg-Vorpommern,3.47,9.27,
124VMS,,Altmittweida,6,Sachsen,3.63,9.66,
126BEG,,Altomünster,6,Bayern,2.89,7.59,
128VBB,,Altranft,6,Brandenburg,3.98,10.22,
7719VBBBerlin,,Alt-Reinickendorf,5,Berlin,1.96,5.19,
130VMBW,,Altshausen,6,Baden-Württemberg,2.35,6.18,
131BEG,,Altstädten(Allgäu),6,Bayern,2.89,7.59,
132VMBW,,Alttann,7,Baden-Württemberg,1.9,5.07,
,133ZÖPNVSüd,Alzey,3,Rheinland-Pfalz,3.96,10.57,
7531ZÖPNVSüd,,AlzeySüd,6,Rheinland-Pfalz,1.99,5.22,
134BEG,,Amberg,5,Bayern,2.72,7.01,
263TLBV,,Ammern,7,Thüringen,2.7,7.22,
139BEG,,Ampfing,5,Bayern,2.72,7.01,
140NASA,,Amsdorf,6,Sachsen-Anhalt,3.34,8.9,
141VMBW,,Amstetten(Württ),5,Baden-Württemberg,2.91,7.35,
142VVO,,Amtshainersdorf,7,Sachsen,2.46,6.58,
,144ZVRPNord,Andernach,3,Rheinland-Pfalz,4.59,11.17,
145RH,,Anderten-Misburg,5,Niedersachsen,4.35,11.59,
147VRR,,Angermund,5,Nordrhein-Westfalen,2.32,5.93,
148VBB,,Angermünde,3,Brandenburg,7.57,20.21,
149NASA,,Angern-Rogätz,6,Sachsen-Anhalt,3.34,8.9,
150RMV,,Angersbach,6,Hessen,2.48,6.52,
151NASA,,Angersdorf,6,Sachsen-Anhalt,3.34,8.9,
152VMV,,Anklam,5,Mecklenburg-Vorpommern,3.75,9.97,
156NASA,,Annaburg,6,Sachsen-Anhalt,3.34,8.9,
,158ZÖPNVSüd,AnnweileramTrifels,5,Rheinland-Pfalz,2.95,7.78,
8242ZÖPNVSüd,,Annweiler-Sarnstall,7,Rheinland-Pfalz,1.49,4.01,
160VRR,,Anrath,5,Nordrhein-Westfalen,2.32,5.93,
161BEG,,Ansbach,3,Bayern,4.75,12.53,
163BEG,,Anwanden,6,Bayern,2.89,7.59,
164RMV,,Anzefahr,6,Hessen,2.48,6.52,
