@id;name;@lat;@lon;railway;public_transport;Index1_df0;Code_df0;Serviceeinrichtung_df0;Category_df0;State_df0;Price_SPNV_df0;Price_SPFV_df0;Bemerkung_df0;match_type;match_score;match_subtype;confidence;explanation
14012294;Irrenlohe;49.362762;12.1013364;station;station;3004;BEG;Irrenlohe;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
14015279;Poikam;48.9317295;12.0140394;halt;station;4980;BEG;Poikam;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
14016470;Neuburg (Kammel);48.3028573;10.3656838;halt;;4367;BEG;Neuburg (Kammel);6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
14016473;Kleinkötz;48.4118046;10.2884405;halt;stop_position;3253;BEG;Kleinkötz;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
14017104;Breitenbrunn (Schwab);48.1386272;10.4084597;halt;;849;BEG;Breitenbrunn (Schwab);7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
14017106;Pfaffenhausen;48.117728;10.4519704;station;;4912;BEG;Pfaffenhausen;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
14017107;Hausen (Schwab);48.100783;10.4829682;halt;station;2604;BEG;Hausen (Schwab);7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
14017108;Nassenbeuren;48.078171;10.5037667;halt;station;4303;BEG;Nassenbeuren;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
14017109;Mindelheim;48.0449169;10.5016383;station;station;4119;BEG;Mindelheim;4.0;Bayern;3,19 €;7,89 €;;exact;100;;;
14017137;Niederraunau;48.221295;10.3745349;halt;;4517;BEG;Niederraunau;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
14017153;Loppenhausen;48.1628946;10.3907772;halt;stop_position;3779;BEG;Loppenhausen;7.0;Bayern;2,13 €;5,65 €;;exact;100;;;
14332499;Dorfen Bahnhof;48.2671047;12.1598381;station;station;1268;BEG;Dorfen Bahnhof;5.0;Bayern;2,72 €;7,01 €;;exact;100;;;
14334687;Landau (Isar);48.6828553;12.6950655;station;station;3504;BEG;Landau (Isar);5.0;Bayern;2,72 €;7,01 €;;exact;100;;;
14334692;Passau Hbf;48.5737124;13.4504744;station;station;4872;BEG;Passau Hbf;3.0;Bayern;4,75 €;12,53 €;;exact;100;;;
14405187;Weichering;48.7206641;11.3304832;station;station;6591;BEG;Weichering;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
14405188;Rohrenfeld;48.7212768;11.2590305;station;station;5321;BEG;Rohrenfeld;6.0;Bayern;2,89 €;7,59 €;;exact;100;;;
15431109;Ansbach;49.2979431;10.5777328;station;station;161;BEG;Ansbach;3.0;Bayern;4,75 €;12,53 €;;exact;100;;;
